TIMESTAMP,VX,VY,VZ,GX,GY,GZ,AX,AY,AZ
1634102665,4.31,305.2,1.94,1.22,0.79,3999.21,284.36,332.02,344.44
1634102666,4.56,305.16,2.12,0.49,0.55,0.31,282.85,332.99,344.98
1634102667,4.41,304.97,1.87,3999.15,3999.88,3999.57,284.11,332.19,343.95
1634102668,4.45,305.11,1.96,3999.69,0.55,0.37,283.23,332.68,343.82
1634102669,4.61,305.26,2.03,3999.33,3999.94,3999.57,283.79,331.98,343.11
1634102670,4.64,305.36,2.01,0,0,0,282.98,332.68,343.34
1634102671,4.54,305,1.97,3999.94,3999.82,3999.76,283.33,332.04,343.24
1634102672,4.68,305.24,2.03,0.61,3999.76,0.06,283.34,332.75,343.55
1634102673,4.7,305.18,1.94,1.28,0.12,3999.69,283.41,332.3,344.04
1634102674,4.38,304.99,2.02,1.34,0.43,0.12,283.12,332.7,344.22
1634102675,4.38,305.02,1.87,3999.57,3999.88,0.49,283.77,332.01,343.87
1634102677,4.34,305.02,2.05,0.49,3999.82,3999.63,283.35,332.9,344.27
1634102678,4.3,304.99,2.03,0.55,3999.94,0.06,283.74,332.11,344.22
1634102679,4.58,305.08,2.01,0.73,0.06,3998.72,283.24,332.81,344.76
1634102680,4.59,304.98,2.02,0.92,0.24,3999.15,283.61,332.44,344.67
1634102681,4.61,305.31,2,3999.33,3999.45,0.12,283.51,332.44,344.74
1634102682,4.71,305.25,2.07,0.85,0.24,0.55,283.68,332.64,344.83
1634102683,4.71,305.19,2.19,1.04,0,3998.72,284.07,332.58,345.08
1634102684,4.55,305.14,2.16,0,0.43,0,284.04,332.74,345.03
1634102685,4.57,305.09,2.08,3999.88,0.73,0.12,284.09,332.52,344.37
1634102686,4.56,305.29,2.02,3999.21,0.43,0.24,283.89,332.62,343.66
1634102687,4.63,305.15,2.02,3999.94,0.31,3998.9,283.68,332.61,342.95
1634102688,4.48,305.36,2.14,3999.33,0.06,0.24,283.93,332.62,342.41
1634102689,4.44,304.88,2.04,0.49,0.43,3999.45,283.56,332.41,342.26
1634102691,4.56,305.27,2.06,0.24,0.06,1.04,283.33,332.69,343.01
1634102692,4.54,305.3,2.06,3999.39,3999.21,0.55,284,332.37,343.25
1634102693,4.44,304.96,2.09,3999.08,3999.82,0.98,284.04,332.41,343.65
1634102694,4.37,305.29,2.12,3999.02,3999.88,1.16,284.02,332.9,343.53
1634102695,4.53,305.04,2.14,0.24,0.12,3999.15,284.09,332.79,343.47
1634102696,4.6,305.19,2.19,0,0,3998.72,284.27,332.64,343
1634102697,4.49,305.06,2.07,3999.51,0.24,3999.57,283.91,332.9,342.61
1634102698,4.58,305.15,2.07,3998.78,0,1.16,284.13,332.65,342
1634102699,4.45,305.19,2.15,3999.02,3999.88,0,284.23,332.66,341.37
1634102700,4.69,305.04,2.17,2.01,0.73,3999.69,284.13,332.48,341.36
1634102701,4.65,305.22,2.14,1.71,0.61,0,283.45,332.92,342.26
1634102702,4.57,305.33,2.14,3999.69,3999.08,0,284.17,332.43,342.73
